translation_x,translation_y,translation_z,frame_numbers
4.283033231791684e-10,5.7349699574111756e-11,0.003283,frame_000000
-0.0636720205428796,0.0014165444328293,0.003042,frame_000001
-0.1273440415140626,0.0028330888083089,0.002859,frame_000002
-0.1910160624852455,0.0042496331837885,0.002732,frame_000003
-0.2546880834564285,0.0056661775592682,0.002657,frame_000004
-0.3183601044276115,0.0070827219347478,0.002632,frame_000005
-0.3809887603412985,0.0083019619113718,0.002652,frame_000006
-0.4296791292048475,0.006885417482771,0.002715,frame_000007
-0.4783694980683965,0.0054688730541701,0.002818,frame_000008
-0.5270598669319456,0.0040523286255693,0.002956,frame_000009
-0.5757502357954947,0.0026357841969684,0.003128,frame_000010
-0.6244406046590436,0.0012192397683675,0.003329,frame_000011
-0.670522560954625,-0.0003946091058609,0.003557,frame_000012
-0.7004858652276371,-0.0032276982723014,0.003807,frame_000013
-0.7304491695006491,-0.0060607874387418,0.004078,frame_000014
-0.7604124737736611,-0.0088938766051823,0.004366,frame_000015
-0.7903757780466731,-0.0117269657716228,0.004666,frame_000016
-0.8203390823196851,-0.0145600549380633,0.004977,frame_000017
-0.848346077156845,-0.017393144106557,0.005295,frame_000018
-0.8689458490873164,-0.020226233282825,0.005617,frame_000019
-0.8895456210177879,-0.023059322459093,0.005939,frame_000020
-0.9101453929482594,-0.0258924116353609,0.006258,frame_000021
-0.9307451648787308,-0.0287255008116289,0.006571,frame_000022
-0.9513449368092024,-0.0315585899878969,0.006875,frame_000023
-0.9698579785584732,-0.0343916792044324,0.007166,frame_000024
-0.982966924197456,-0.0372247685252504,0.007441,frame_000025
-0.9960758698364388,-0.0400578578460685,0.007494,frame_000026
-1.0091848154754215,-0.0428909471668865,0.007565,frame_000027
-1.022293761114404,-0.0457240364877045,0.007650,frame_000028
-1.0354027067533869,-0.0485571258085226,0.007750,frame_000029
-1.0485116523117095,-0.0518834761824031,0.007821,frame_000030
-1.061620597719054,-0.0561331100658623,0.007869,frame_000031
-1.0747295431263986,-0.0603827439493215,0.007896,frame_000032
-1.0878384885337429,-0.0646323778327807,0.007895,frame_000033
-1.1009474339410872,-0.0688820117162399,0.007867,frame_000034
-1.1140563793484315,-0.0731316455996991,0.007815,frame_000035
-1.125600276967552,-0.0767893662336983,0.007740,frame_000036
-1.1349638088646166,-0.0796224555885354,0.007606,frame_000037
-1.1443273407616812,-0.0824555449433726,0.007405,frame_000038
-1.153690872658746,-0.0852886342982097,0.007135,frame_000039
-1.1630544045558109,-0.0881217236530468,0.006789,frame_000040
-1.1724179364528753,-0.0909548130078839,0.006361,frame_000041
-1.18178146843,-0.094478467872767,0.005900,frame_000042
-1.1911450004912902,-0.098728101863596,0.005411,frame_000043
-1.2005085325525806,-0.102977735854425,0.004897,frame_000044
-1.209872064613871,-0.1072273698452539,0.004401,frame_000045
-1.2192355966751611,-0.1114770038360829,0.003922,frame_000046
-1.2285991287364515,-0.1157266378269118,0.003455,frame_000047
-1.2379626606323284,-0.1199762717870902,0.002963,frame_000048
-1.2473261923967225,-0.1242259057229052,0.002451,frame_000049
-1.2566897241611166,-0.1284755396587202,0.001925,frame_000050
-1.2660532559255109,-0.1327251735945353,0.001401,frame_000051
-1.2754167876899047,-0.1369748075303504,0.000881,frame_000052
-1.2847803194542988,-0.1412244414661654,0.000372,frame_000053
-1.292970065268608,-0.1454740754080578,-0.000122,frame_000054
-1.3004608901040915,-0.1497237093535689,-0.000596,frame_000055
-1.3079517149395756,-0.1539733432990799,-0.001045,frame_000056
-1.315442539775059,-0.158222977244591,-0.001531,frame_000057
-1.322933364610543,-0.1624726111901021,-0.002051,frame_000058
-1.3304241894460267,-0.1667222451356132,-0.002603,frame_000059
-1.3392192204088542,-0.1709718791329096,-0.003112,frame_000060
-1.3485827514784725,-0.175221513152779,-0.003585,frame_000061
-1.3579462825480908,-0.1794711471726484,-0.004025,frame_000062
-1.367309813617709,-0.1837207811925179,-0.004464,frame_000063
-1.3766733446873278,-0.1879704152123873,-0.004901,frame_000064
-1.386036875756946,-0.1922200492322567,-0.005333,frame_000065
-1.3954004066886545,-0.1964696832556402,-0.005730,frame_000066
-1.40476393757825,-0.2007193172800966,-0.006104,frame_000067
-1.4141274684678455,-0.204968951304553,-0.006464,frame_000068
-1.423490999357441,-0.2092185853290094,-0.006855,frame_000069
-1.4328545302470368,-0.2134682193534658,-0.007279,frame_000070
-1.4422180611366322,-0.2177178533779222,-0.007738,frame_000071
-1.450016544707781,-0.2219674873376793,-0.008280,frame_000072
-1.4575073694043632,-0.2262171212847178,-0.008901,frame_000073
-1.4649981941009456,-0.2304667552317563,-0.009598,frame_000074
-1.472489018797528,-0.2347163891787947,-0.010368,frame_000075
-1.4799798434941105,-0.2389660231258332,-0.011191,frame_000076
