translation_x,translation_y,translation_z,frame_numbers
0.000000,0.004781,0.003283,frame_000000
0.000000,0.001161,0.003042,frame_000001
0.000000,-0.001684,0.002859,frame_000002
0.000000,-0.003788,0.002732,frame_000003
0.000000,-0.005185,0.002657,frame_000004
0.000000,-0.005912,0.002632,frame_000005
0.000000,-0.006002,0.002652,frame_000006
0.000000,-0.005490,0.002715,frame_000007
0.000000,-0.004410,0.002818,frame_000008
0.000000,-0.002798,0.002956,frame_000009
0.000000,-0.000688,0.003128,frame_000010
0.000000,0.001885,0.003329,frame_000011
0.000000,0.004887,0.003557,frame_000012
0.000000,0.008283,0.003807,frame_000013
0.000000,0.012038,0.004078,frame_000014
0.000000,0.016118,0.004366,frame_000015
0.000000,0.020487,0.004666,frame_000016
0.000000,0.025112,0.004977,frame_000017
0.000000,0.029958,0.005295,frame_000018
0.000000,0.034989,0.005617,frame_000019
0.000000,0.040171,0.005939,frame_000020
0.000000,0.045470,0.006258,frame_000021
0.000000,0.050851,0.006571,frame_000022
0.000000,0.056279,0.006875,frame_000023
0.000000,0.061719,0.007166,frame_000024
0.000000,0.067137,0.007441,frame_000025
0.000000,0.071692,0.007494,frame_000026
0.000000,0.076159,0.007565,frame_000027
0.000000,0.080513,0.007650,frame_000028
0.000000,0.084728,0.007750,frame_000029
0.000000,0.088780,0.007821,frame_000030
0.000000,0.092643,0.007869,frame_000031
0.000000,0.096292,0.007896,frame_000032
0.000000,0.099702,0.007895,frame_000033
0.000000,0.102849,0.007867,frame_000034
0.000000,0.105705,0.007815,frame_000035
0.000000,0.108248,0.007740,frame_000036
0.000000,0.110451,0.007606,frame_000037
0.000000,0.112289,0.007405,frame_000038
0.000000,0.113737,0.007135,frame_000039
0.000000,0.114770,0.006789,frame_000040
0.000000,0.115363,0.006361,frame_000041
0.000000,0.115730,0.005900,frame_000042
0.000000,0.115891,0.005411,frame_000043
0.000000,0.115868,0.004897,frame_000044
0.000000,0.115681,0.004401,frame_000045
0.000000,0.115357,0.003922,frame_000046
0.000000,0.114920,0.003455,frame_000047
0.000000,0.114399,0.002963,frame_000048
0.000000,0.113822,0.002451,frame_000049
0.000000,0.113222,0.001925,frame_000050
0.000000,0.112630,0.001401,frame_000051
0.000000,0.112081,0.000881,frame_000052
0.000000,0.111611,0.000372,frame_000053
0.000000,0.111257,-0.000122,frame_000054
0.000000,0.111060,-0.000596,frame_000055
0.000000,0.111060,-0.001045,frame_000056
0.000000,0.111060,-0.001531,frame_000057
0.000000,0.111060,-0.002051,frame_000058
