translation_x,translation_y,translation_z,frame_numbers
0.002081,0.002751,0.002124,frame_000000
-0.001096,-0.001449,0.002467,frame_000004
-0.001584,-0.002094,0.001947,frame_000008
-0.000407,-0.000538,0.000736,frame_000012
0.001411,0.001866,-0.000997,frame_000016
0.002847,0.003763,-0.00308,frame_000020
0.002875,0.003801,-0.005343,frame_000024
-0.002223,0.002164,-0.007451,frame_000028
-0.011953,0.000893,-0.009059,frame_000032
-0.024423,-0.008247,-0.009805,frame_000036
-0.038415,-0.027129,-0.010978,frame_000040
-0.052711,-0.066061,-0.01325,frame_000044
-0.066095,-0.126365,-0.016933,frame_000048
-0.077346,-0.21495,-0.021145,frame_000052
-0.084503,-0.33727,-0.025693,frame_000056
-0.08249,-0.490375,-0.030518,frame_000060
-0.081862,-0.682577,-0.034783,frame_000064
-0.085316,-0.911226,-0.038206,frame_000068
-0.091478,-1.178871,-0.040494,frame_000072
-0.099595,-1.480134,-0.041868,frame_000076
-0.115629,-1.813451,-0.042391,frame_000080
-0.137143,-2.174533,-0.041872,frame_000084
-0.157841,-2.563229,-0.040941,frame_000088
-0.180179,-2.984791,-0.039552,frame_000092
-0.206627,-3.424055,-0.037753,frame_000096
-0.229671,-3.88498,-0.034704,frame_000100
-0.250548,-4.366942,-0.030734,frame_000104
-0.273403,-4.870612,-0.026247,frame_000108
-0.303733,-5.399951,-0.021008,frame_000112
-0.332693,-5.938025,-0.015682,frame_000116
-0.354547,-6.492154,-0.010989,frame_000120
-0.371425,-7.060105,-0.006864,frame_000124
-0.394448,-7.626579,-0.002986,frame_000128
-0.414018,-8.195131,0.000638,frame_000132
-0.426141,-8.758417,0.004584,frame_000136
-0.445711,-9.315982,0.009672,frame_000140
-0.468734,-9.869321,0.015609,frame_000144
-0.485612,-10.414825,0.022577,frame_000148
-0.507466,-10.965581,0.029496,frame_000152
-0.536426,-11.518685,0.035717,frame_000156
-0.566756,-12.070719,0.040921,frame_000160
-0.594803,-12.617066,0.044532,frame_000164
-0.616912,-13.161536,0.045495,frame_000168
-0.631695,-13.702318,0.044042,frame_000172
-0.646496,-14.237394,0.040377,frame_000176
-0.659928,-14.770704,0.035548,frame_000180
-0.67446,-15.287557,0.030312,frame_000184
-0.692549,-15.805282,0.025631,frame_000188
-0.705815,-16.315496,0.021993,frame_000192
-0.711482,-16.820713,0.01999,frame_000196
-0.725662,-17.322544,0.019655,frame_000200
-0.745577,-17.821693,0.020834,frame_000204
-0.766711,-18.321668,0.023128,frame_000208
-0.785881,-18.813133,0.025611,frame_000212
-0.796795,-19.305851,0.027647,frame_000216
-0.807257,-19.790952,0.029488,frame_000220
-0.824405,-20.278451,0.031618,frame_000224
-0.845463,-20.761457,0.033359,frame_000228
-0.862051,-21.238876,0.033908,frame_000232
-0.876624,-21.712342,0.033285,frame_000236
-0.891654,-22.175744,0.031605,frame_000240
-0.905752,-22.637958,0.028329,frame_000244
-0.926263,-23.090103,0.023461,frame_000248
-0.951797,-23.544105,0.016926,frame_000252
-0.974842,-23.993257,0.008719,frame_000256
-0.996632,-24.436163,-0.000327,frame_000260
-1.021314,-24.88529,-0.009226,frame_000264
-1.054385,-25.330382,-0.017743,frame_000268
-1.081808,-25.772326,-0.025684,frame_000272
-1.109079,-26.207629,-0.032362,frame_000276
-1.134219,-26.643004,-0.038176,frame_000280
-1.162239,-27.073596,-0.043769,frame_000284
-1.187061,-27.494528,-0.04907,frame_000288
-1.20261,-27.909021,-0.054701,frame_000292
-1.223032,-28.327156,-0.060147,frame_000296
-1.240479,-28.740057,-0.065462,frame_000300
-1.259453,-29.148732,-0.070664,frame_000304
-1.285874,-29.564873,-0.075605,frame_000308
-1.313665,-29.981213,-0.080697,frame_000312
-1.33675,-30.397378,-0.086321,frame_000316
-1.361047,-30.805266,-0.091979,frame_000320
-1.393143,-31.211077,-0.097036,frame_000324
-1.425529,-31.6217,-0.102286,frame_000328
-1.453804,-32.025922,-0.107548,frame_000332
-1.472232,-32.421287,-0.112573,frame_000336
-1.482945,-32.815225,-0.117272,frame_000340
-1.497062,-33.210983,-0.120828,frame_000344
-1.509959,-33.596072,-0.123684,frame_000348
-1.528353,-33.972995,-0.12646,frame_000352
-1.544615,-34.346129,-0.130169,frame_000356
-1.554227,-34.71296,-0.13525,frame_000360
-1.560538,-35.08187,-0.142252,frame_000364
-1.575887,-35.43553,-0.150994,frame_000368
-1.593976,-35.788633,-0.160984,frame_000372
-1.612369,-36.142339,-0.172172,frame_000376
-1.628631,-36.485341,-0.184529,frame_000380
-1.638243,-36.825059,-0.199659,frame_000384
-1.644555,-37.166609,-0.219362,frame_000388
-1.659904,-37.501278,-0.245894,frame_000392
-1.677993,-37.834275,-0.282444,frame_000396
-1.696386,-38.166714,-0.331355,frame_000400
-1.711902,-38.499823,-0.395537,frame_000404
-1.718249,-38.837203,-0.474694,frame_000408
-1.729356,-39.168929,-0.57024,frame_000412
-1.748587,-39.490384,-0.68147,frame_000416
-1.769644,-39.811884,-0.805895,frame_000420
-1.790093,-40.125114,-0.94249,frame_000424
-1.806751,-40.427067,-1.088267,frame_000428
-1.815408,-40.729669,-1.241805,frame_000432
-1.826475,-41.026214,-1.400522,frame_000436
-1.83954,-41.315306,-1.563328,frame_000440
-1.854432,-41.610481,-1.727451,frame_000444
-1.868715,-41.906642,-1.890918,frame_000448
-1.879953,-42.209665,-2.055752,frame_000452
-1.888602,-42.507455,-2.224232,frame_000456
-1.902594,-42.797798,-2.397628,frame_000460
-1.915521,-43.082306,-2.570749,frame_000464
-1.926164,-43.362587,-2.743561,frame_000468
-1.933305,-43.640252,-2.917709,frame_000472
-1.935727,-43.916911,-3.088927,frame_000476
-1.935103,-44.194174,-3.259235,frame_000480
-1.930598,-44.478753,-3.428063,frame_000484
-1.925686,-44.765795,-3.600425,frame_000488
-1.928793,-45.050421,-3.782207,frame_000492
-1.936619,-45.335853,-3.977993,frame_000496
-1.947948,-45.62411,-4.191361,frame_000500
-1.961559,-45.903265,-4.418367,frame_000504
-1.972376,-46.180025,-4.655519,frame_000508
-1.984071,-46.456986,-4.896389,frame_000512
-2.000333,-46.735759,-5.141106,frame_000516
-2.018727,-47.017952,-5.386739,frame_000520
-2.036816,-47.304191,-5.629028,frame_000524
-2.052164,-47.590988,-5.872827,frame_000528
-2.062337,-47.893489,-6.120138,frame_000532
-2.074034,-48.192969,-6.37535,frame_000536
-2.081841,-48.497612,-6.64295,frame_000540
-2.092698,-48.810321,-6.923098,frame_000544
-2.104332,-49.138346,-7.209128,frame_000548
-2.11045,-49.471758,-7.494814,frame_000552
-2.118858,-49.814162,-7.77332,frame_000556
-2.135946,-50.165796,-8.037767,frame_000560
-2.155081,-50.518857,-8.284326,frame_000564
-2.181986,-50.878383,-8.507535,frame_000568
-2.213915,-51.240505,-8.702159,frame_000572
-2.247214,-51.607119,-8.867822,frame_000576
-2.274369,-51.97732,-9.000558,frame_000580
-2.296617,-52.344247,-9.100258,frame_000584
-2.318102,-52.723653,-9.172843,frame_000588
-2.344322,-53.116303,-9.222335,frame_000592
-2.366432,-53.513002,-9.251829,frame_000596
-2.383668,-53.908714,-9.26627,frame_000600
-2.402747,-54.311241,-9.268825,frame_000604
-2.411595,-54.720345,-9.267528,frame_000608
-2.421592,-55.132422,-9.266442,frame_000612
-2.431764,-55.557398,-9.266945,frame_000616
-2.443459,-55.982448,-9.269415,frame_000620
-2.454241,-56.424217,-9.27346,frame_000624
-2.457812,-56.868548,-9.278188,frame_000628
-2.466511,-57.316548,-9.283352,frame_000632
-2.483687,-57.763341,-9.288278,frame_000636
-2.50482,-58.20405,-9.293328,frame_000640
-2.527477,-58.633819,-9.29858,frame_000644
-2.547137,-59.059363,-9.304236,frame_000648
-2.561025,-59.487393,-9.310429,frame_000652
-2.576278,-59.913055,-9.317268,frame_000656
-2.597809,-60.327343,-9.324823,frame_000660
